店名,住所,電話番号,ウェブサイト,メールアドレス,評価,特徴,件名,本文,ステータス
Plume et Bille,"38 Rue de l'Arcade, 75008 Paris",+33 1 42 65 57 92,https://plumeetbille.com/,,4.6,高級万年筆(Namiki等)専門店,,,未送信
Lavrut,"52 Pass. Choiseul, 75002 Paris",+33 1 42 96 95 54,http://www.lavrut.com/,,4.7,老舗画材・文具店,,,未送信
Magasin Sennelier,"3 Quai Voltaire, 75007 Paris",+33 1 42 60 72 15,http://magasinsennelier.art/,,4.7,老舗画材店(文具も一部あり),,,未送信
Papeterie COPY6,"3 Rue du Montparnasse, 75006 Paris",+33 1 45 44 66 11,,,4.9,地域密着型の文具・印刷店(サイト未確認),,,未送信
La Papétheque,"26 Rue Soufflot, 75005 Paris",+33 1 43 54 14 89,,,4.4,万年筆・ノート中心の小規模専門店,,,未送信
Calligrane,"6 Rue du Pont Louis-Philippe, 75004 Paris",+33 1 48 04 09 00,,,4.7,手漉き紙・アート系ペーパー専門店,,,未送信
MAJUSCULE,"61 Rue du Faubourg Montmartre, 75009 Paris",+33 1 42 80 39 80,,,4.0,大型文具・子供向けギフト店,,,未送信
Papeterie Perjac,"66 Rue du Faubourg Poissonnière, 75010 Paris",+33 1 47 70 28 71,,,4.6,Paper Republic取扱の人気文具店,,,未送信
Le bruit du papier,"27 Rue Marguerite de Rochechouart, 75009 Paris",+33 1 53 21 04 68,,,4.2,カード・ギフト系の地域密着型文具店,,,未送信
PapiersPicard,"39 Rue du Faubourg Poissonnière, 75009 Paris",+33 1 47 70 26 17,,,3.1,画材・文具店(評価低め・接客に懸念あり),,,未送信
Mélodies Graphiques,"10 Rue du Pont Louis-Philippe, 75004 Paris",+33 1 42 74 57 68,,,4.2,カリグラフィー・アートペーパー専門店,,,未送信
PLEIN CIEL - ARAGO,"28 Bd Arago, 75013 Paris",+33 1 47 07 50 75,,,4.2,文具・画材の複合店,,,未送信
MEMOIRE VIVE Papeterie,"168 Rue de la Convention, 75015 Paris",+33 9 81 39 22 78,,,4.0,地域密着の文具・印刷店,,,未送信
Librairie Lamartine,"118 Rue de la Pompe, 75016 Paris",+33 1 47 27 31 31,,,4.1,書店兼文具店(16区の高級住宅街),,,未送信
Papeterie Le Bureau De L'Etoile,"5 Av. Mac-Mahon, 75017 Paris",+33 1 43 80 84 17,,,4.0,文具・印刷サービス店,,,未送信
Papier Royal,"146 Gal de Valois, 75001 Paris",+33 1 40 15 93 20,,,4.3,高級ギフト・パーソナライズ文具店,,,未送信
Librairie J Aude,"35 Av. Mozart, 75016 Paris",+33 1 42 88 08 61,,,4.3,書店兼文具店(16区),,,未送信
